"hFredbE3goM","25 MILES","EDWIN STARR","36","5","title","numbers","9","twenty-five"
"eXQMrhu7eIU","AIN'T NO SUNSHINE","MICHAEL JACKSON","8","7","artist","state_capitals","9","Jackson"
"hmHTpvc691A","ANGEL/WHAT MADE MILWAUKEE FAMOUS (HAS MADE A LOSER OUT OF ME)","ROD STEWART","4","4","title","occupations","9","made"
"1euENzOYLRA","BABY DON'T GET HOOKED ON ME","MAC DAVIS","29","6","artist","clothing","9","mac"
"5BmEGm-mraE","BAD MOON RISING","CREEDENCE CLEARWATER REVIVAL","1","9","title","astronomy","9","moon"
"WDPemUAIDfI","BALL PARK INCIDENT","WIZZARD","46","1","title","tennis","9","ball"
"s0u8iA6bJTo","BEN","MICHAEL JACKSON","7","3","artist","state_capitals","9","Jackson"
"0oav2zF_Kxc","BIG SEVEN","JUDGE DREAD","50","1","title","numbers","9","seven"
"_xyxswZ2-ZQ","BIG SIX","JUDGE DREAD","11","16","title","numbers","9","six"
"zf2VYAtqRe0","BURNING LOVE","ELVIS PRESLEY","21","1","title","tennis","9","love"
"xw0EozkBWuI","CROCODILE ROCK","ELTON JOHN","5","6","title","music","9","rock"
"FIdewXHh3eQ","DON'T FORGET TO REMEMBER","THE BEE GEES","2","9","artist","insects","9","bee"
"U0svbAv8bDQ","DO WHAT YOU GOTTA DO","THE FOUR TOPS","19","3","artist","numbers","9","four"
"7Vdx2snEMtk","FOR ONCE IN MY LIFE","DOROTHY SQUIRES","35","4","title","numbers","9","four"
"jixeE8gkT-s","GOODBYE TO LOVE","THE CARPENTERS","9","11","title","tennis","9","love"
"sS3DMN1Fa4k","HI HI HI/C.MOON","WINGS","40","1","title","astronomy","9","moon"
"rb-bKKRl_hw","HI-HO SILVER LINING {1972}","JEFF BECK","17","6","title","elements","9","silver"
"A7DgEqMINzY","HOW CAN I BE SURE","DAVID CASSIDY","1","3","title","insects","9","bee"
"1mtrJc9X-o8","I DIDN'T KNOW I LOVED YOU (TILL I SAW YOU ROCK AND ROLL)","GARY GLITTER","14","2","title","music","9","rock"
"S-g2RCdk8nI","I'LL NEVER FALL IN LOVE AGAIN","BOBBIE GENTRY","2","7","title","tennis","9","love"
"4j7qRCqvltU","I'M STONE IN LOVE WITH YOU","THE STYLISTICS","9","6","title","tennis","9","love"
"dcLlq_DXpY8","IN A BROKEN DREAM","PYTHON LEE JACKSON","3","11","artist","state_capitals","9","Jackson","artist","snakes","9","python"
"yesyhQkYrQM","IN THE YEAR 2525","ZAGER AND EVANS","1","10","title","numbers","9","twenty five"
"DXWV15YtEcQ","IT'S FOUR IN THE MORNING","FARON YOUNG","3","22","title","numbers","9","four"
"0DqlRDoZ5yY","JUST OUT OF REACH (OF MY TWO EMPTY ARMS)","KEN DODD","29","4","title","numbers","9","two"
"lnO1w5gmYEA","KEEPER OF THE CASTLE","THE FOUR TOPS","23","4","artist","numbers","9","four"
"DmvCDcarkSY","LET'S DANCE {1972}","CHRIS MONTEZ","9","9","title","tennis","9","let"
"1l0xpkk0yaQ","LONG COOL WOMAN IN A BLACK DRESS","THE HOLLIES","32","5","title","colors","9","black","title","clothing","9","dress"
"fr5xWy_ymgU","LOOKIN' THROUGH THE WINDOWS","THE JACKSON 5","9","5","artist","numbers","9","five","artist","state_capitals","9","Jackson"
"7lhEdPbl73s","LOOP DI LOVE","SHAG","4","9","title","tennis","9","love"
"-Ed01VUgdxc","LOVE AT FIRST SIGHT (JE T'AIME... MOI NON PLUS) FT TIM MYCROFT","SOUNDS NICE FEATURING TIM MYCROFT","19","6","title","tennis","9","love"
"9pLpzNPiB48","LOVE'S BEEN GOOD TO ME","FRANK SINATRA","26","2","title","tennis","9","love"
"PQBW6G0hSrs","LOVE THEME FROM THE GODFATHER","ANDY WILLIAMS","44","5","title","tennis","9","love"
"aO5GWJJP3FM","MOULDY OLD DOUGH","LIEUTENANT PIGEON","1","13","title","animals","9","doe"
"9muzyOd4Lh8","NIGHTS IN WHITE SATIN","THE MOODY BLUES","19","13","title","colors","9","white"
"O8RhZDGLEXM","OH WELL","FLEETWOOD MAC","14","2","artist","clothing","9","mac"
"Mkn1kFmUW5E","PUPPY LOVE","DONNY OSMOND","1","16","title","tennis","9","love"
"EXfL2RIt8G4","RETURN OF DJANGO/DOLLAR IN THE TEETH","UPSETTERS","37","2","title","tennis","9","return"
"AG0hjhwKx5s","ROCK ME BABY","DAVID CASSIDY","11","3","title","music","9","rock"
"-3J8tKLIToE","SHOTGUN WEDDING {1972}","ROY C","16","3","title","weapons","9","shotgun"
"HdTFeW8FCto","SILVER MACHINE","HAWKWIND","3","14","title","elements","9","silver"
"G17Zwtibn_M","SOLID GOLD EASY ACTION","T. REX","8","1","title","elements","9","gold"
"2NwzUOtR8Bo","STAY WITH ME","BLUE MINK","12","5","artist","colors","9","blue"
"WrlnRutj39Y","TOO BUSY THINKING ABOUT MY BABY","MARDI GRAS","19","9","title","numbers","9","two"
"z76RDhkB-6c","TOO BUSY THINKING 'BOUT MY BABY","MARVIN GAYE","5","12","title","numbers","9","two"
"lFSzuUw50W0","TOO YOUNG","DONNY OSMOND","5","3","title","numbers","9","two"
"tnV7dTXlXxs","VENTURA HIGHWAY","AMERICA","43","3","artist","countries","9","america"
"BonWfTW7jKc","VIRGINIA PLAIN","ROXY MUSIC","4","7","title","transport","9","plain"
"LUH1mH-pMBQ","WHEN TWO WORLDS COLLIDE","JIM REEVES","17","16","title","numbers","9","two"
"H_NdBRNHzFI","YOU'LL ALWAYS BE A FRIEND","HOT CHOCOLATE","23","7","title","insects","9","bee"
